State,Total_murders,Gun_murders,Handguns,Rifles,Shotguns,Firearms,Murders_per_capita,Gun_murders_per_capita
Alabama,3,3,1,0,1,1,4.2,2.8
Alaska,57,39,12,2,1,24,4.4,2.7
Arizona,278,171,128,4,3,36,5.5,3.6
Arkansas,164,110,51,10,4,45,4.5,3.2
California,1861,1275,855,34,33,353,4.9,3.4
Colorado,176,115,65,12,6,32,2.3,1.3
Connecticut,107,73,29,0,2,42,3.7,2.7
Delaware,63,52,26,0,0,26,5.3,4.2
District of Columbia,162,121,65,1,0,55,21.8,16.5
Florida,0,0,0,0,0,0,5,3.4
Georgia,565,464,394,16,10,44,5.3,3.8
Hawaii,19,4,1,1,0,2,1.8,0.5
Idaho,30,24,17,4,0,3,1.3,0.8
Illinois,497,440,431,2,1,6,5.5,2.8
Indiana,272,209,147,9,5,48,3.1,2.2
Iowa,72,49,31,0,2,16,1.2,0.7
Kansas,125,91,51,4,4,32,3.5,2.2
Kentucky,209,141,91,1,9,40,4.5,2.7
Louisiana,474,379,207,7,9,156,9.6,7.7
Maine,23,16,15,0,0,1,1.8,0.8
Maryland,372,279,266,3,3,7,7.3,5.1
Massachusetts,126,81,33,1,0,47,3.2,1.8
Michigan,571,389,148,10,10,221,5.6,4.2
Minnesota,133,79,47,6,9,17,1.7,1
Mississippi,159,126,102,3,5,16,5.6,4
Missouri,499,418,233,12,11,162,7,5.4
Montana,36,18,13,0,0,5,2.1,1.2
Nebraska,61,43,41,1,1,0,2.8,1.8
Nevada,177,113,17,1,1,94,5.9,3.1
New Hampshire,14,8,4,0,0,4,1,0.4
New Jersey,353,255,200,3,0,52,4.1,2.8
New Mexico,94,56,14,1,2,39,5.7,3.3
New York,611,383,331,1,5,46,4.4,2.7
North Carolina,506,353,235,10,21,87,4.7,3
North Dakota,17,9,5,0,0,4,1.3,0.6
Ohio,480,316,184,12,7,113,4,2.7
Oklahoma,233,149,113,8,9,19,5,3
Oregon,71,34,17,1,5,11,2,0.9
Pennsylvania,651,497,386,10,11,90,5.1,3.6
Rhode Island,27,10,3,0,1,6,2.8,1.5
South Carolina,394,312,201,7,10,94,6.1,4.5
South Dakota,27,12,5,1,5,1,1.7,1
Tennessee,402,297,204,13,7,73,5.6,3.5
Texas,1276,906,610,19,36,241,5,3.2
Utah,54,34,26,2,0,6,1.9,0.8
Vermont,10,8,2,4,0,2,1.1,0.3
Virginia,383,275,148,6,7,114,4.6,3.1
Washington,209,141,84,3,5,49,2.2,1.4
West Virginia,57,30,19,1,1,9,3,1.5
Wisconsin,238,170,122,5,4,39,2.7,1.7
Wyoming,16,10,4,0,3,3,1.4,0.9
